killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1496,Injurednelk,16,567730.6,387409.6
SCAR-L,Nickeso14,1,650376.8,370426.6,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1949,SmokinJay86,2,653666.9,366790.5
SCAR-L,Nickeso14,1,642656.8,370443.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1833,Brockiosaurus,3,651759.4,373786.9
Hit by Car,Joumma,42,551004.3,580475,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,460,assain,57,550567.4,580827.1
Punch,Wxiangcaonima94,32,323192.6,137950.1,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,113,mccoyad91,95,0,0
M24,bilobilo,5,641037.8,356868.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1670,Potatoheadface,7,655004.9,357224.3
SCAR-L,Quist11,10,634458.9,405323.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1518,ageowri,12,632585.2,404158.8
SKS,Mr_Zee,14,581151.3,460959.9,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1359,BitCr4sh,18,579584.1,441155.8
AKM,aust_b,34,627584.6,378585.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,752,QDlanbatian,45,626775.3,378970.2
Falling,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,102,DankDabsDaily,94,495541,184627.9
SCAR-L,Nickeso14,1,634791.9,364109.9,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1735,Amzerik,4,636043,365877.6
AKM,FLiPTeCH,29,493472.2,434860.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,743,Hole_Tickler2,70,0,0
SCAR-L,Mineiro,24,644489.8,253818.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1050,That_Shino_Wolf,30,644341.1,252678.2
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1147,queuehammer,65,0,0
UMP9,Balalalaxmx,6,602580.9,486569.7,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,470,AllegedCactus,56,601780.6,486370.9
AKM,TEAMDESTROYER23,74,340434.1,164864.8,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,133,Thuromau,84,340814.7,163492.4
M416,corona317,22,596610.4,475501.5,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1017,darkmarwin,31,595376.3,478248.8
Falling,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1626,Quist11,10,621091.6,385172.6
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1645,furiousgg,9,629609.3,380586.8
AKM,1-Scottie-1,21,614469.9,382443.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,906,aust_b,34,625345,378513.7
SKS,Kevangel,33,620794.4,424178.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,486,murr313,54,618954.6,423631.3
S1897,Rosltelekom,44,373624.6,130916.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,186,NewToGameGoEasy,75,373220.9,130779.1
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,881,Fck_Pat,53,0,0
AKM,SmokinJay86,2,657514.1,358193.1,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1679,Balalalaxmx,6,657268.6,358152.1
AKM,Nickeso14,1,569510.3,348925.9,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,840,XXTianChen,40,567804.1,348106.2
M416,TheManLeft,61,432293.4,632976.9,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,351,hyesung95,65,430760.3,628692.7
M16A4,Brockiosaurus,3,441391.5,289855,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,538,Forec,51,441144.4,290071.9
M16A4,C_Bomb_Official,52,627294.6,378817.8,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,134,PcRock85,83,627718.2,378941.3
Punch,ganjijay,72,555555.9,363537.8,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,142,McGiggles,82,555566.3,363458.2
UMP9,Rosltelekom,44,548606.4,284322,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,738,Thunderchicken65,47,547864.4,284963.5
AKM,wqnmgbsixsix,50,615945.1,384030,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,503,C_Bomb_Official,52,625977.6,377822.3
M16A4,Hot_Aqua_3,13,563285.7,249387.8,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,764,Yodastew,43,563158.8,249951.3
SCAR-L,bilobilo,5,616189.1,349341,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1507,iceman_-,15,603630.2,344433.6
SKS,Mr_Zee,14,581135.7,460935.8,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1331,corona317,22,586393.3,445512.2
Mini 14,bilobilo,5,545712.4,291987.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,754,Rosltelekom,44,547685.2,285098.5
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1510,Mr_Zee,14,620299.5,413244.9
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,876,Tianqi--_--,51,0,0
Kar98k,Amzerik,4,639469.4,382910.9,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1321,MaskamaxRUS161,23,639469.1,372748.3
M16A4,Hot_Aqua_3,13,565648.3,250042.5,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,886,Vegeta_,35,543585.6,263348.2
AKM,anglelajodie,73,422498.2,324778.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,184,KSR-GT,76,422522.2,325102
AKM,Nickeso14,1,557571.5,363414.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,698,5GouW666,48,556694.8,364273.3
Kar98k,Amzerik,4,703976.7,344191.9,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1164,Mineiro,24,683337.5,361688.2
P92,ARedKnife,80,421833,324260.7,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,129,Zachman12345678,86,421500.5,324888.7
M416,Amzerik,4,685355.8,462460,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,290,UkiyoeL,66,685563.4,462125.8
Punch,Wxiangcaonima94,32,321954.5,135250.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,129,FuFuTyme,95,0,0
AKM,Nickeso14,1,634136.1,363397.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1690,bilobilo,5,641210.8,360917.1
Vector,iceman_-,15,552603.9,542415.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,775,Joumma,42,551763.1,542840.2
Micro UZI,Potatoheadface,7,655010.4,357173.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,911,Kevangel,33,654855.9,357144.3
SKS,Jbroadnax,17,616156.8,390958.1,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1346,1-Scottie-1,21,618728.4,391389.6
S686,Amzerik,4,686441.6,462266.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,130,LawyersGunsMoney,85,686435.3,462341.9
Tommy Gun,queuehammer,65,537084.6,455069.5,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,286,Mattrobby,67,538228,456858.6
M416,huhahua,11,621554.7,392280,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1423,Jbroadnax,17,620244.8,391328.9
M16A4,Nickeso14,1,422017.5,326001,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,209,anglelajodie,73,421939.7,324294.7
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,794,Penta_X,75,0,0
P92,KSR-GT,76,425499.6,326860.8,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,107,TEN5HU,93,424991,326276.2
P1911,huhahua,11,479393.4,297746.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,276,BaysideFisher,68,480058.4,297794.5
Tommy Gun,Mineiro,24,664770.9,309261.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,485,Ace664135179,55,664694.6,309645.1
Vector,Mr_Zee,14,431776.6,445263.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,435,CiXcOoOx,60,431336.3,446546.3
S1897,Rosltelekom,44,373890.1,131804,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,163,luenh,78,374299,131762.1
Falling,iceman_-,15,553539.2,533301,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,867,Vcnyy,39,553722.6,533664.9
M16A4,Brockiosaurus,3,616665.6,258193.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1067,dj622,28,614121.3,254974
S12K,Jbroadnax,17,626560.3,378879.7,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,554,wqnmgbsixsix,50,626098.1,378748.6
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1656,Echo85,8,624605.5,379526.8
Punch,Wxiangcaonima94,32,323880.9,136373.8,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,121,Jin-ChEN,95,0,0
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,868,Gustavpope,65,0,0
S12K,Jbroadnax,17,626874.7,378970.1,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,444,sanbiluanzi,59,626353.9,378806
Kar98k,Amzerik,4,639031.5,372652.1,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1533,huhahua,11,621513.1,390646.2
Motorbike,seabass91,81,380999.5,129559.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,145,seabass91,81,380999.5,129559.2
Tommy Gun,furiousgg,9,740079.2,441231.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,359,Blizzrad00,63,740290.7,439808.4
Kar98k,Amzerik,4,639631.2,372695.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1517,Hot_Aqua_3,13,630553.5,387521.1
M16A4,Nickeso14,1,425495.8,326580.6,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,357,China_dth,64,430999.4,316550.6
Mini 14,Thunderchicken65,47,337426.8,167948.6,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,186,TEAMDESTROYER23,74,337941.8,168092.5
UMP9,UkiyoeL,66,686767.6,462045.5,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,261,Lgd_Huntsmanzero,69,685937.2,462665.4
Micro UZI,Echo85,8,554016.6,362139.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1114,apple2626,27,553906,362008.3
M16A4,Forec,51,443407.1,293273,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,494,BIGGEE117,53,440949.3,291650.9
M416,Amzerik,4,730864.3,436730.5,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,601,D1LL1G4F4U,49,729717.9,437202.4
Kar98k,Amzerik,4,688586.8,440950.1,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,459,mmp15870151245,58,671565.1,450337.2
M416,corona317,22,589238.1,450849.3,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1163,wx_1023,25,588813.4,450824.7
Bluezone,,,,,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,1351,guaon,89,0,0
AKM,wx_1023,25,446764,629979.6,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,432,TheManLeft,61,447173.8,630434.6
S1897,sanbiluanzi,59,623057.2,378835.9,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,179,LYUJ01,77,622884.2,378907.7
P1911,aust_b,34,554098.4,362540.6,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,213,ganjijay,72,554366.9,362076.9
P92,whdlsrl123,70,421106.3,325036.5,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,162,CUTEQUIETSISTER,79,421519.5,325077.2
P92,whdlsrl123,70,421961.9,324392.5,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,148,ARedKnife,80,421282.2,325068
Kar98k,bilobilo,5,548353,281748.1,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,914,Wxiangcaonima94,32,536623.6,276737.5
S1897,mmp15870151245,58,671587.3,450081.2,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,406,jlspzd,62,670984.4,450573.3
M16A4,Nickeso14,1,421763.8,324940.4,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,229,whdlsrl123,70,420679.5,324436.9
M16A4,Nickeso14,1,420383.8,324176.8,ERANGEL,2U4GBNA0YmmiQ8ux47GiXZAZ7i5Lo_HQvSMaMHGmvfvBRFEMw9zc29EWT6-_oE_z,117,Vincen-77,90,420295,324242.6
Punch,AigoDragon,16,465200.2,650392.9,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,84,joeyblazed,20,465151.6,650329
M416,deerly_no_more,3,137781,295413.7,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,995,0n3Sh0tK1ll3R,14,139711.6,294118.5
Kar98k,ongwwwqdcc,27,434176.7,626210.4,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,221,ahet1234,4,435537.4,637526.4
UMP9,fairysss,18,388422.3,352854.2,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,761,iMaQDuTz,20,390759.3,351464.8
SCAR-L,LMYYHHM,4,437819.8,609494.9,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,765,AigoDragon,16,438280.3,620077.9
Down and Out,deerly_no_more,3,169764.5,285229.6,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,315,dayude,23,169528.6,285565.9
SCAR-L,Mr_maybe_zr,3,175541,286905.2,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,304,ChaoticJustice,23,172478.6,285892.8
Punch,BabyEsoul,25,167662.6,276990.3,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,125,BrokenCC,23,167613.6,276934.3
Down and Out,Mr_maybe_zr,3,85075.87,433867.2,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1316,XiaoBaBa2333,11,87180.83,436859.1
M16A4,deerly_no_more,3,169752.6,285132.5,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,315,Hokkaido_Phoenix,23,170133.1,285673.7
Bluezone,,,,,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1105,xtttttttt,14,0,0
Mini 14,Mingyushuai,2,125309.5,488642.9,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1518,Vaine-,8,121973,481074.2
Down and Out,deerly_no_more,3,86522.47,433560.3,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1316,34966,11,87022.9,437165.2
M416,la-ganwo,1,84248.89,478265.9,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1621,Keyble,6,82787.33,479199.6
SCAR-L,la-ganwo,1,88428.4,478055.8,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1649,AnGrY_Kocou,6,85432.92,477098.1
P92,52Rpwoer,2,286948.8,265362.3,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,162,RazzleDazzleBird,15,286737.9,265087.7
Bluezone,,,,,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1650,Asset_kz,6,83038.08,477845.3
S686,1997shedan,2,361452.2,402883.2,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,567,LUCA_ASOKINASHA,20,0,0
Micro UZI,Mr-whaha,3,170536.4,281812.7,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,193,Mr-huang,25,170371.3,281070.6
SCAR-L,DmitriyWild,6,84074.34,478567.3,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1558,Double277,7,83906.84,478869.1
SCAR-L,Asset_kz,6,82602.4,478150.3,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1643,SakuraSUN,,84092.63,477976.6
Down and Out,la-ganwo,1,84142,475790.1,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1625,DmitriyWild,6,82787.79,479287.5
S1897,Mingyushuai,2,362051,402270.1,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,506,Mr_Ben,20,361712.3,402510.5
Down and Out,vuhfvbu,1,103515.9,482263.7,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1786,52Rpwoer,2,104009.2,482198.7
SCAR-L,ahet1234,4,430098.1,639418.1,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,157,Iliken,26,430820.2,640577.4
SCAR-L,LMYYHHM,4,52802.67,512457.3,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1285,Czzz1,12,51920.37,509495.9
Down and Out,WDQWL,21,458725.4,631062.8,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,504,ZFT-MaRine,16,459187,631199.9
M16A4,Yangmaning369,9,176499.2,345143.5,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,929,Tingyue_0427,15,176770.2,343285.6
Down and Out,,,,,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1494,Mr-whaha,3,85002.46,433764.6
P92,Hokkaido_Phoenix,23,170284.3,285203,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,296,QST-Feng,3,170490.8,284818.3
M416,Mr_maybe_zr,3,140450.2,297731.5,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,971,kyle918,14,140578.4,297177.8
Kar98k,la-ganwo,1,102005.8,477248.9,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1769,deerly_no_more,3,109208.1,472784.5
SCAR-L,Asset_kz,6,82856.58,477925.6,ERANGEL,2U4GBNA0YmmfwSPLUvKJBCxeB03QD3sFWa7qHqy0WLZhta1E4iDN15cQSXBzgVJD,1649,LH1232,,86450.87,476692.6
