killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
M16A4,zhoujiuri,4,514420.6,113316.6,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,427,M_AbraKadabra,50,516901.6,111666.9
M16A4,854545656,1,513489.8,370974.9,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,208,Astrea,66,513537.3,372712.5
Mini 14,YTDGG,59,359774.4,418692.2,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,234,ShiYonG1,63,359442.6,416882.5
AWM,scopionzy,3,295903.3,261247.7,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1499,BySedo,11,279870.6,261173.3
Micro UZI,ANOSREP,13,386467.9,295768.5,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,512,doudoujun,48,386765.9,294858.5
Micro UZI,WuChuangDaYe,62,365800.6,267193.7,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,161,YA__TO,71,366494.5,267150.5
UMP9,bishouguai,5,365758.6,272880.1,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,234,WuChuangDaYe,62,366877.6,271851.2
Vector,Drc-Th,30,343889.6,333209.2,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,749,HFzhangxueyou,41,342911.2,331683.9
M416,ByHuizai,10,184100.5,410659.8,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,820,LYggggys,37,182390.5,407198.2
P1911,SmileyRiley,32,379532.3,318878.4,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,226,PengROC,64,379340.6,318751.8
S1897,lzyuanyuanyuan,60,367126.1,424311.4,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,109,kaka0202,86,367181.5,421558.8
M416,HFzhangxueyou,41,367353.3,423594.6,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,249,lzyuanyuanyuan,60,370818.6,421869
M16A4,yeyouyu,47,437834.9,280119.7,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,311,chane_e,57,436205.7,280335.7
UMP9,splbj1,53,426306.8,201248.1,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,327,gbjinyu,55,429507.4,199321
S1897,qin121314,38,241097.3,726577.3,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,355,China-cs11,52,241645.5,726893.5
SCAR-L,Kobe-Bryant-8-24,2,341035.9,292321.6,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1631,MY_ZouAn,8,342198.9,292691.8
M16A4,yeyouyu,47,428994.6,283478.2,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,142,MZwang,76,431038.2,283882.9
Falling,,,,,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,766,DakotaJames0507,40,300852.6,269866.8
VSS,intsuperman,29,397572.9,277888.4,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,870,xiao_zhang_6,67,0,0
Hit by Car,1oveRain,35,521068.5,206610.9,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,935,1oveRain,35,521068.5,206610.9
Bluezone,,,,,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1326,ChanaNo1Ren,49,0,0
UMP9,Senorbotches,14,332344.8,249307.5,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1383,mvpsean,19,331589.9,253966
Bluezone,,,,,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1643,Redteamzyc,48,0,0
M416,scopionzy,3,334868.5,271296.2,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1714,bishouguai,5,336097.3,270350.2
Micro UZI,DJFGCGHFCY,9,477373.6,364644.6,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,207,sahdka566564,67,477428.9,365496.6
AKM,chane_e,57,436124.9,280111.4,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,81,bingye1988,94,437355.8,279172.1
AKM,CapricirnL,26,436127.8,302038.7,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1000,Sichuan-clique,33,435893.2,302265.5
S686,Drc-Th,30,327711.9,354528.8,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,100,jiyuzz,88,329391.1,356055.5
AKM,chane_e,57,434377.9,279440.1,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,88,BigKun66,93,434063.5,279927.2
SKS,Kobe-Bryant-8-24,2,429867.9,255438.4,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1237,Ray_tnt,27,431339.2,236338.3
Kar98k,victor-killer,12,363060.3,415315.2,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,298,YTDGG,59,360088,417537.2
Micro UZI,ANOSREP,13,366142.5,311228.3,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,793,AllGame6,39,365975,310337.9
SCAR-L,ANOSREP,13,361000.6,312207.9,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1117,Drc-Th,30,360473.7,311514.3
SCAR-L,zhoujiuri,4,376893.8,249478.9,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1387,JIJIG1,18,350848.8,256947
S1897,liuyinghai123,45,663643.4,42090,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,149,zxmv8,75,663831.3,41591.23
AKM,chane_e,57,434684.9,277835,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,98,Gyong_97,89,436402.8,277046.4
SKS,Supramida,6,330706.8,252828.5,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1510,DJFGCGHFCY,9,328575.8,249367.8
Micro UZI,DJFGCGHFCY,9,477159.9,362006.8,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,155,RightKe,73,477030.1,362185.5
SCAR-L,Kobe-Bryant-8-24,2,336915.8,273818.4,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1748,zhoujiuri,4,341299.2,274753
AKM,Kobe-Bryant-8-24,2,658342.4,66957.21,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,623,liuyinghai123,45,658844.1,66290.77
M416,scopionzy,3,273037.7,410451.6,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,686,LY0629,42,273346.9,409587.4
Bluezone,,,,,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1487,victor-killer,12,336139.5,335055.9
M416,ANOSREP,13,315517.7,303320.5,MIRAMAR,2U4GBNA0YmmZtkItUaRt5bERD2XnqEiYq0Lv_ysjwIZsUHrC3faHhLKr4pprDgME,1362,myhwb,21,312527.8,298212.8
