date,game_size,match_id,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_name,player_survive_time,team_id,team_placement
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,604.5532,1693.61731,127,1,ShelbyMedic,1448.822,100073,12
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,1719.78613,124,2,Richi10,1023.009,100079,36
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,1606.85864,156,2,HAIRONFIRE,708.762,100081,48
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,3384.201,0,0,Lustformuffins,1412.209,100087,15
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,601.5178,99,1,YallMadBro,1145.901,100089,62
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,404.6088,0,0,in4red,396.464,100091,63
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,296.23584,98,0,BunnyJosephine,198.648,100092,79
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,1865.1875,1998.47388,330,3,Bostonwuyanzu,1624.646,100096,8
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,920.0372,2439.89819,75,1,Hughe_G_Rexshin,1537.98,100017,10
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,2051.30957,174,1,sweet2thMuNch,1516.585,100025,11
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,2504.40454,168,1,Capanga09,1220.594,100027,25
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,84.11823,207,2,SgtTodd,260.47,100030,69
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,525.4947,987.1248,357,3,flexistential,798.971,100033,44
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,1021.84552,38,0,Mmartini,554.17,100039,55
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,50.2327232,54,0,FarNotFar,122.793,100045,88
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,524.2431,0,0,PurplePPLEater,200.669,100048,77
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,51.9682732,49,0,cftroop,200.197,100053,78
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,1031.72034,100,0,DionysusPi,590.883,100058,54
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,13.3876925,78,0,Thculture,87.649,100068,96
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,165.9545,13,0,Ric0_Ric0,223.821,100074,71
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,30.239336,0,0,Aswego,128.933,100075,86
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,16.98043,25,0,YHSSWAG,165.12,100085,83
2017/11/26 9:47,97,2U4GBNA0Yml_MDIpsXDjMltu0-r8UqS8skCECcelwiP7iulTHq9Y6Z6Qvq6yNSM4,tpp,1,0,0,0,218.751678,0,0,Myster0246,234.738,100090,70
